SKU,Brand,Our Price,Competitor Buy Box,Price Difference,Status,Margin Floor,Last Changed
SKU-001,Natura Casa,Rs.1,299,Rs.1,199,-100,Lost,Rs.1,050,3 days ago
SKU-002,Natura Casa,Rs.849,Rs.860,,Won,Rs.720,Today
SKU-003,LivSpace Pro,Rs.2,499,Rs.2,199,-300,Lost,Rs.1,800,6 days ago
SKU-004,LivSpace Pro,Rs.599,Rs.610,,Won,Rs.480,2 days ago
SKU-005,Artisan Home,Rs.3,799,Rs.3,750,-49,Lost,Rs.3,200,1 day ago
SKU-006,Artisan Home,Rs.1,150,Rs.1,390,,Won,Rs.900,Today
SKU-007,Nordic Basics,Rs.449,Rs.399,-50,Lost,Rs.420,5 days ago
SKU-008,Nordic Basics,Rs.2,199,Rs.2,100,-99,Lost,Rs.1,750,4 days ago
SKU-009,Natura Casa,Rs.1,050,Rs.1,240,,Won,Rs.820,2 days ago
SKU-010,Artisan Home,Rs.2,250,Rs.2,620,,Won,Rs.1,950,4 days ago
SKU-011,Nordic Basics,Rs.699,Rs.650,-49,Lost,Rs.640,2 days ago
SKU-012,LivSpace Pro,Rs.1,899,Rs.1,760,-139,Lost,Rs.1,780,1 day ago
